constraint_count,dtime0,dtime1,dtime2,dtime3,dtime4,dtime5,dtime6,dtime7,dtime8,dtime9,dtime_avg
5000,98.821,74.824,79.225,93.701,96.816,92.722,99.9,103.027,103.846,112.324,95.5206
10000,248.882,190.812,261.354,198.655,231.688,203.971,243.767,222.929,251.768,223.451,227.7277
20000,507.036,558.96,581.959,506.133,537.04,560.085,538.287,554.863,516.169,535.094,539.5626
40000,1214.536,1265.6689999999999,1304.354,1224.259,1331.659,1206.669,1357.41,1258.126,1249.856,1227.535,1264.0073
60000,1789.6660000000002,1700.159,1584.8780000000002,1951.892,1983.277,1948.388,2005.158,1986.7820000000002,2012.27,2014.906,1897.7376
80000,2347.684,2518.0950000000003,2437.943,2578.8559999999998,2466.839,2474.2309999999998,2405.217,2608.776,2425.896,2575.063,2483.8599999999997
100000,3012.414,2888.816,3005.056,2946.474,2869.129,2995.6369999999997,3060.036,2969.947,2915.0,2959.248,2962.1757000000002
120000,3521.805,3285.335,3546.7870000000003,3571.934,3718.865,3495.54,3699.4139999999998,3532.833,3551.492,3675.411,3559.9415999999997
140000,3832.157,3839.127,3863.116,3744.288,3752.398,4163.442,3886.938,3822.006,3950.943,3718.352,3857.2767
160000,4150.318,4185.54,4315.671,4115.123,4485.659,4234.603,4242.339,4170.294,4104.451,4110.632,4211.463
180000,4706.487,4656.4130000000005,4570.634,4413.338,4385.63,4377.227,4515.484,4637.127,4528.033,4404.805,4519.5178
200000,4740.887,4691.614,4423.707,5116.426,5002.627,4798.4349999999995,5059.92,4927.9619999999995,4952.6,5018.546,4873.2724
