logfile,conflicts,time
results/expr_1/logs/activity-log_2024-08-15T04:38:36Z-2024-08-15T04:43:43Z.csv,0,
results/expr_1/logs/activity-log_2024-08-15T04:38:36Z-2024-08-15T04:43:43Z.csv,5,
results/expr_1/logs/activity-log_2024-08-15T04:38:36Z-2024-08-15T04:43:43Z.csv,10,
results/expr_1/logs/activity-log_2024-08-15T04:38:36Z-2024-08-15T04:43:43Z.csv,15,
results/expr_1/logs/activity-log_2024-08-15T04:38:36Z-2024-08-15T04:43:43Z.csv,20,
results/expr_1/logs/activity-log_2024-08-15T04:38:36Z-2024-08-15T04:43:43Z.csv,25,
results/expr_1/logs/activity-log_2024-08-15T04:38:36Z-2024-08-15T04:43:43Z.csv,30,
results/expr_1/logs/activity-log_2024-08-15T04:45:06Z-2024-08-15T04:51:06Z.csv,0,
results/expr_1/logs/activity-log_2024-08-15T04:45:06Z-2024-08-15T04:51:06Z.csv,5,
results/expr_1/logs/activity-log_2024-08-15T04:45:06Z-2024-08-15T04:51:06Z.csv,10,
results/expr_1/logs/activity-log_2024-08-15T04:45:06Z-2024-08-15T04:51:06Z.csv,15,
results/expr_1/logs/activity-log_2024-08-15T04:45:06Z-2024-08-15T04:51:06Z.csv,20,
results/expr_1/logs/activity-log_2024-08-15T04:45:06Z-2024-08-15T04:51:06Z.csv,25,
results/expr_1/logs/activity-log_2024-08-15T04:45:06Z-2024-08-15T04:51:06Z.csv,30,
results/expr_1/logs/activity-log_2024-08-15T04:52:27Z-2024-08-15T04:57:32Z.csv,0,
results/expr_1/logs/activity-log_2024-08-15T04:52:27Z-2024-08-15T04:57:32Z.csv,5,
results/expr_1/logs/activity-log_2024-08-15T04:52:27Z-2024-08-15T04:57:32Z.csv,10,
results/expr_1/logs/activity-log_2024-08-15T04:52:27Z-2024-08-15T04:57:32Z.csv,15,
results/expr_1/logs/activity-log_2024-08-15T04:52:27Z-2024-08-15T04:57:32Z.csv,20,
results/expr_1/logs/activity-log_2024-08-15T04:52:27Z-2024-08-15T04:57:32Z.csv,25,
results/expr_1/logs/activity-log_2024-08-15T04:52:27Z-2024-08-15T04:57:32Z.csv,30,
logfile,conflicts,time
results/expr_1/logs/activity-log_2024-08-15T04:38:36Z-2024-08-15T04:43:43Z.csv,0,0.0017361640930175781
results/expr_1/logs/activity-log_2024-08-15T04:38:36Z-2024-08-15T04:43:43Z.csv,5,0.0013489723205566406
results/expr_1/logs/activity-log_2024-08-15T04:38:36Z-2024-08-15T04:43:43Z.csv,10,0.0014069080352783203
results/expr_1/logs/activity-log_2024-08-15T04:38:36Z-2024-08-15T04:43:43Z.csv,15,0.0014219284057617188
results/expr_1/logs/activity-log_2024-08-15T04:38:36Z-2024-08-15T04:43:43Z.csv,20,0.0016546249389648438
results/expr_1/logs/activity-log_2024-08-15T04:38:36Z-2024-08-15T04:43:43Z.csv,25,0.001753091812133789
results/expr_1/logs/activity-log_2024-08-15T04:38:36Z-2024-08-15T04:43:43Z.csv,30,0.0016651153564453125
results/expr_1/logs/activity-log_2024-08-15T04:45:06Z-2024-08-15T04:51:06Z.csv,0,0.001415252685546875
results/expr_1/logs/activity-log_2024-08-15T04:45:06Z-2024-08-15T04:51:06Z.csv,5,
results/expr_1/logs/activity-log_2024-08-15T04:45:06Z-2024-08-15T04:51:06Z.csv,10,0.0014979839324951172
results/expr_1/logs/activity-log_2024-08-15T04:45:06Z-2024-08-15T04:51:06Z.csv,15,0.0015058517456054688
results/expr_1/logs/activity-log_2024-08-15T04:45:06Z-2024-08-15T04:51:06Z.csv,20,
results/expr_1/logs/activity-log_2024-08-15T04:45:06Z-2024-08-15T04:51:06Z.csv,25,
results/expr_1/logs/activity-log_2024-08-15T04:45:06Z-2024-08-15T04:51:06Z.csv,30,
results/expr_1/logs/activity-log_2024-08-15T04:52:27Z-2024-08-15T04:57:32Z.csv,0,0.0012462139129638672
results/expr_1/logs/activity-log_2024-08-15T04:52:27Z-2024-08-15T04:57:32Z.csv,5,0.0013020038604736328
results/expr_1/logs/activity-log_2024-08-15T04:52:27Z-2024-08-15T04:57:32Z.csv,10,0.001338958740234375
results/expr_1/logs/activity-log_2024-08-15T04:52:27Z-2024-08-15T04:57:32Z.csv,15,
results/expr_1/logs/activity-log_2024-08-15T04:52:27Z-2024-08-15T04:57:32Z.csv,20,
results/expr_1/logs/activity-log_2024-08-15T04:52:27Z-2024-08-15T04:57:32Z.csv,25,
results/expr_1/logs/activity-log_2024-08-15T04:52:27Z-2024-08-15T04:57:32Z.csv,30,
