log_file,activity_count,users,resources,selectivity_level,selectivity,detection_time
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,200,5,53,high,0.037140019860973185,0.5046
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,200,5,53,medium,0.050049652432969216,0.5718
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,200,5,53,low,0.22164846077457795,2.3257000000000003
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,400,5,82,high,0.024646983311938382,0.7958000000000001
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,400,5,82,medium,0.05263157894736842,1.0608
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,400,5,82,low,0.25340179717586647,4.0324
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,600,5,107,high,0.019380226266601082,0.9537000000000001
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,600,5,107,medium,0.05843580914904083,1.8114000000000001
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,600,5,107,low,0.2652238071815052,5.6467
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,800,5,129,high,0.015748674010607915,1.2438
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,800,5,129,medium,0.061036311709506325,2.0061
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,800,5,129,low,0.274500203998368,7.8496
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,1000,5,154,high,0.013397129186602871,1.3622
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,1000,5,154,medium,0.06787423103212577,2.8943000000000003
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,1000,5,154,low,0.280997949419002,9.5138
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,1200,5,180,high,0.011345029239766082,1.69
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,1200,5,180,medium,0.06824561403508772,3.4182
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,1200,5,180,low,0.2797076023391813,11.3208
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,1400,5,200,high,0.010421052631578947,2.1813
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,1400,5,200,medium,0.07663157894736843,3.4746
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,1400,5,200,low,0.27231578947368423,12.1859
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,1600,5,233,high,0.00903546419697312,2.4405
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,1600,5,233,medium,0.08118364580980347,4.4767
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,1600,5,233,low,0.28104811384684886,14.4269
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,1800,5,248,high,0.008488964346349746,2.2257000000000002
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,1800,5,248,medium,0.08688455008488964,5.3148
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,1800,5,248,low,0.28314940577249575,15.2947
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,2000,5,265,high,0.007944389275074478,2.8011
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,2000,5,265,medium,0.08432969215491559,5.9692
results/logs/activity-log_1000actions_files4folders2_2024-10-09T19:07:55Z-2024-10-09T19:52:31Z.csv,2000,5,265,low,0.27992055610724925,17.1811
results/logs/activity-log_1000actions_files4folders2_2024-10-09T20:03:26Z-2024-10-09T20:49:16Z.csv,200,5,48,high,0.04254385964912281,0.5633
results/logs/activity-log_1000actions_files4folders2_2024-10-09T20:03:26Z-2024-10-09T20:49:16Z.csv,200,5,48,medium,0.05021929824561404,0.8392
results/logs/activity-log_1000actions_files4folders2_2024-10-09T20:03:26Z-2024-10-09T20:49:16Z.csv,200,5,48,low,0.2179824561403509,1.8488
results/logs/activity-log_1000actions_files4folders2_2024-10-09T20:03:26Z-2024-10-09T20:49:16Z.csv,400,5,71,high,0.02876204595997035,0.8768
results/logs/activity-log_1000actions_files4folders2_2024-10-09T20:03:26Z-2024-10-09T20:49:16Z.csv,400,5,71,medium,0.05100074128984433,1.0073
results/logs/activity-log_1000actions_files4folders2_2024-10-09T20:03:26Z-2024-10-09T20:49:16Z.csv,400,5,71,low,0.24062268346923646,3.3229999999999995
results/logs/activity-log_1000actions_files4folders2_2024-10-09T20:03:26Z-2024-10-09T20:49:16Z.csv,600,5,89,high,0.02259018332347723,1.2946
