log_file,activity_count,users,resources,selectivity_level,selectivity,detection_time_mean,detection_time_std
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,200,8,52,high,0.016397664835164836,0.5155,0.012322743201089613
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,200,8,52,medium,0.05013736263736264,0.9682999999999999,0.06464526278081013
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,200,8,52,low,0.20157967032967034,3.1495999999999995,1.8230915062058732
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,400,10,88,high,0.006584224598930481,1.2855,1.5977242722071916
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,400,10,88,medium,0.05,2.0475000000000003,0.1444487798494678
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,400,10,88,low,0.20066844919786098,6.5905000000000005,2.724974100794354
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,600,12,116,high,0.0035739942528735633,1.2711999999999999,0.1437878993517883
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,600,12,116,medium,0.05005387931034483,4.2828,2.6100921746175936
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,600,12,116,low,0.2002514367816092,12.0248,3.549999825352109
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,800,15,140,high,0.001933916423712342,1.116,0.06705221845696084
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,800,15,140,medium,0.05003887269193392,8.290299999999998,6.219097829267521
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,800,15,140,low,0.20315840621963072,21.491300000000003,7.394874779872882
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,1000,17,182,high,0.0011752952929423518,1.347,0.08317451532771321
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,1000,17,182,medium,0.05000881471469707,12.483699999999999,8.893179038454134
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,1000,17,182,low,0.22200152788388083,39.812799999999996,10.619770635941249
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,1200,19,207,high,0.0008294673485805271,1.4946,0.04940080970996325
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,1200,19,207,medium,0.050193195033199536,18.941,13.571603177222652
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,1200,19,207,low,0.2141234530850767,54.610400000000006,13.027318221337806
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,1400,21,241,high,0.0005839209406435517,1.8893999999999997,0.15098489990724231
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,1400,21,241,medium,0.05113436964554819,28.3987,18.697175455399673
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,1400,21,241,low,0.2494905437247668,103.7204,15.919525283123233
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,1600,22,275,high,0.00046989374262101534,1.9788000000000001,0.10583269816082364
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,1600,22,275,medium,0.05803541912632822,38.826,25.429925827654316
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,1600,22,275,low,0.3059291617473436,148.78209999999999,31.79956925950413
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,1800,26,306,high,0.00030349851009822313,2.1989000000000005,0.15019151107835618
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,1800,26,306,medium,0.057759751805662854,52.900299999999994,35.45057087283645
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,1800,26,306,low,0.32481084991845394,274.1647,37.130223309455054
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,2000,28,340,high,0.0002387318563789152,2.6562,0.28016273842179656
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,2000,28,340,medium,0.0633582410236822,65.3266,43.07034313817339
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,2000,28,340,low,0.3049429430863254,289.21369999999996,49.051504474480694
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,2200,30,364,high,0.00019484062037253527,2.5873,0.2608041602428919
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,2200,30,364,medium,0.07240374873353597,82.4779,54.4849869568673
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,2200,30,364,low,0.25991251656145276,300.93809999999996,58.97960906694787
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,2400,33,398,high,0.00014784129532629313,3.1442,0.48204539205348707
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,2400,33,398,medium,0.054865383108540645,81.9016,63.36592809420534
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,2400,33,398,low,0.22171906901379507,307.4648,4.405517853782916
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,2600,35,432,high,0.00012135333236250667,2.8374,0.16083171329063184
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,2600,35,432,medium,0.07487257900101937,135.42440000000002,85.1761912217258
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,2600,35,432,low,0.2912534585699723,480.6906,93.07992574578044
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,2800,37,459,high,0.00010240419447580573,3.0855000000000006,0.2091388294889306
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,2800,37,459,medium,0.08814594645796692,156.9479,96.65779184261349
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,2800,37,459,low,0.3579180203221124,657.5694000000001,112.69788864144704
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,3000,39,485,high,8.738527951273969e-05,3.3567,0.22237493114107984
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,3000,39,485,medium,0.12435449586339933,284.16389999999996,109.7220955336253
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,3000,39,485,low,0.3341246070393212,648.0444999999999,128.53961004628107
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,3200,41,516,high,7.443766069230002e-05,3.4678999999999993,0.08230607510992125
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,3200,41,516,medium,0.14036598020255978,302.7096,132.34082276848667
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,3200,41,516,low,0.27846458926043205,674.9595999999999,125.30099898101372
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,3400,45,545,high,5.8668661401154305e-05,3.7173000000000003,0.19564664576731192
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,3400,45,545,medium,0.11940392640016427,277.98249999999996,155.21182421597265
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,3400,45,545,low,0.25856071106417616,648.9848999999999,7.788809272924857
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,3600,46,578,high,5.2973172266637284e-05,4.053599999999999,0.24568728090806827
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,3600,46,578,medium,0.09525132591850183,292.1471,182.3169628298201
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,3600,46,578,low,0.23751819628467358,665.0796,112.21341928414802
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,3800,47,609,high,4.8188881138510504e-05,4.250699999999999,0.1782790228826712
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,3800,47,609,medium,0.10074608435222698,344.3532,197.36627860543962
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,3800,47,609,low,0.22393011648457292,677.4694999999999,176.89769792467624
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,4000,49,642,high,4.18933433372111e-05,4.2955,0.3166696227932195
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,4000,49,642,medium,0.08053921574819195,294.78869999999995,211.9740434638402
results/logs/activity-log_mock5freq40_2000actions_files4folders2_2024-10-19T02:26:54Z-2024-10-19T04:58:40Z.csv,4000,49,642,low,0.2056613695797066,650.7582999999998,215.19859943505674
